method,fold,target,horizon,mae,rmse,r2,nmae,relative_seasonal_improvement_pct,config
seasonal_24,rolling_3,par_umol_m2_s,2,73.59557342529297,147.10867050415484,0.7333356142044067,0.1298510399639369,0.0,par_research
seasonal_24,rolling_3,par_umol_m2_s,3,73.5956039428711,147.10866386577985,0.733293890953064,0.12985109380874132,0.0,par_research
seasonal_24,rolling_3,par_umol_m2_s,4,73.60468292236328,147.10885637853352,0.7332018613815308,0.12986711263805403,0.0,par_research
seasonal_24,rolling_3,par_umol_m2_s,5,73.61174011230469,147.10900906088315,0.7329611778259277,0.12987956424907443,0.0,par_research
seasonal_24,rolling_3,par_umol_m2_s,6,73.66942596435547,147.11682220262915,0.7326602935791016,0.1299813443906152,0.0,par_research
persistence,rolling_3,par_umol_m2_s,1,70.4172592163086,104.64934006003095,0.8650745749473572,0.12424326511878649,4.3157547716521725,par_research
persistence,rolling_3,par_umol_m2_s,2,129.68435668945312,182.67340862520194,0.5888131856918335,0.2288133348165782,-76.21216963693612,par_research
persistence,rolling_3,par_umol_m2_s,3,185.85830688476562,252.51104555048676,0.2141905426979065,0.32792589705713376,-152.53995745321816,par_research
persistence,rolling_3,par_umol_m2_s,4,238.15293884277344,314.03367405025216,-0.21578741073608398,0.4201938423727811,-223.5567757203333,par_research
persistence,rolling_3,par_umol_m2_s,5,286.0736389160156,367.18598403942383,-0.6636735200881958,0.5047444810960046,-288.62501888906786,par_research
persistence,rolling_3,par_umol_m2_s,6,328.51678466796875,411.3295515763486,-1.0898668766021729,0.5796305966424319,-345.9336832988487,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,1,67.46857452392578,107.82654799781453,0.8567573428153992,0.11904064550443805,8.322480854817993,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,2,89.59611511230469,142.5951025850818,0.7494480609893799,0.158082180525045,-21.741174016741518,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,3,100.33895874023438,161.96397771765487,0.6767091751098633,0.1770367093415459,-36.33825033642353,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,4,110.15767669677734,174.05665946215618,0.6265035271644592,0.19436072325202805,-49.661233936663265,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,5,121.58905792236328,189.5849290225887,0.556489884853363,0.21453009854568414,-65.17617670342081,par_research
seasonal_residual_xgboost,rolling_3,par_umol_m2_s,6,119.86376190185547,187.85198212289376,0.5641165971755981,0.21148600945062468,-62.70489464632297,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,1,54.103580474853516,98.11818746255712,0.881390392780304,0.09545962975020211,26.483076457361214,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,2,55.98741149902344,102.05905536134459,0.871651291847229,0.09878343587358403,23.925572023898443,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,3,61.4967041015625,108.90065893108728,0.8538436889648438,0.10850395764696913,16.43970453819554,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,4,65.93374633789062,114.49251988394263,0.8383932709693909,0.11633261529491823,10.421805080749827,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,5,68.62380981445312,118.87561612616356,0.8256261348724365,0.12107892711427279,6.775998353308587,par_research
seasonal_residual_gru,rolling_3,par_umol_m2_s,6,69.75489044189453,122.017124662637,0.8161005973815918,0.12307459056141501,5.313650094619935,par_research
seasonal_residual_lstm,rolling_3,par_umol_m2_s,1,73.72379302978516,143.14586365400154,0.7475482225418091,0.1300772689096761,-0.1772231684952255,par_research
seasonal_residual_lstm,rolling_3,par_umol_m2_s,2,73.74153900146484,144.90405635065915,0.7412683963775635,0.13010857966344197,-0.1983347222914772,par_research
seasonal_residual_lstm,rolling_3,par_umol_m2_s,3,74.32540130615234,145.66952779536632,0.738486647605896,0.13113873846146226,-0.9916317336668077,par_research
